Simulación 1;Simulación 2;Simulación 3;Simulación 4;Simulación 5;Simulación 6;Simulación 7;Simulación 8;Simulación 9;Simulación 10
Elemento1;27,9539;28,09;27,5466;27,6546;27,4002;27,5769;27,368;27,4796;27,519;27,4583
Elemento2;27,143;27,4229;26,5716;26,6955;26,3902;26,3864;26,4503;26,6502;26,6276;26,3979
Elemento3;26,5354;26,8458;25,9503;26,0735;25,7696;25,758;25,8377;26,0474;26,0153;25,7736
Elemento4;28,9643;29,3139;28,2945;28,4329;28,0887;28,037;28,1821;28,427;28,3819;28,0823
Elemento5;27,7763;28,1381;27,1156;27,2498;26,9156;26,8572;27,0122;27,2568;27,2066;26,9065
Elemento6;27,127;27,5213;26,4431;26,5779;26,2403;26,1537;26,3525;26,6118;26,549;26,2228
Elemento7;29,3488;29,668;28,7048;28,8417;28,5028;28,475;28,5815;28,8114;28,778;28,5039
Elemento8;28,1778;28,5869;27,4669;27,6069;27,2565;27,1697;27,3728;27,6425;27,577;27,2387
Elemento9;27,1857;27,6181;26,4596;26,5988;26,2482;26,1288;26,3803;26,6615;26,5842;26,2207
Elemento10;28,7583;29,1275;28,0749;28,2139;27,8678;27,8091;27,9678;28,2207;28,1692;27,8586
Elemento11;27,6402;28,0455;26,9243;27,0643;26,7118;26,5928;26,839;27,1128;27,0429;26,6859
Elemento12;26,9149;27,3225;26,2117;26,3483;26,0044;25,8891;26,1295;26,3995;26,3289;25,9791
Elemento13;27,5019;27,7541;26,9655;27,0861;26,7923;26,8409;26,8292;27,0098;27,0013;26,8138
Elemento14;26,6818;27,0098;26,0457;26,1761;25,8493;25,7596;25,9496;26,1846;26,1373;25,8338
Elemento15;26,2264;26,5553;25,6201;25,7449;25,4352;25,3968;25,5171;25,7389;25,6976;25,4316
